id,relationship,is_appropriate,label,quote,origin
594,ex_dating,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,colleague,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,engaged,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,best_friend,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,neighbor,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,child,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,parent,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,childhood_friend,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,adopted_child,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,grandparent,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,sibling,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,divorcee,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,grandchild,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,friend,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,step_sibling,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,employee_in_large_company,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,neice_nephew,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,complete_stranger,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,acquaintance,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,friends_with_benefits,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,dating,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,person_having_an_affair,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,domestic_partner,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,cousins,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,uncle_aunt,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,classmate,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
